,0,-10,-20,-30,-40,-48.5,-50,-60,-70,-80,-87,-90,-100,-110,-120,"Po=15W"
0,0,,,,,,,,,,,,,,,
10,3,,,,,,,,,,,,,,,
20,8,,,,,,,,,,,,,,,
30,17,,,,,,,,,,,,,,,
40,25,0,,,,,,,,,,,,,,
50,37,2.5,,,,,,,,,,,,,,
60,50,7,,,,,,,,,,,,,,250
70,65,13,0,,,,,,,,,,,,,214.285714285714
80,80,22.5,1,,,,,,,,,,,,,187.5
90,95,35,3,,,,,,,,,,,,,166.666666666667
100,110,45,7,,,,,,,,,,,,,150
110,125,60,13,0,,,,,,,,,,,,136.363636363636
120,145,75,21,1,,,,,,,,,,,,125
130,165,90,30,4,,,,,,,,,,,,115.384615384615
140,185,105,40,7.5,,,,,,,,,,,,107.142857142857
150,205,122.5,55,13,0,,,,,,,,,,,100
160,225,140,70,20,2.5,,,,,,,,,,,93.75
170,245,157.5,85,30,5,,,,,,,,,,,88.2352941176471
180,,175,100,40,9,,0,,,,,,,,,83.3333333333333
190,,195,117.5,55,14,,1,,,,,,,,,78.9473684210526
200,,217.5,130,70,22,,3,,,,,,,,,75
210,,,155,85,30,,7,,,,,,,,,71.4285714285714
220,,,175,100,40,,10,0,,,,,,,,68.1818181818182
230,,,195,115,52.5,,15,2,,,,,,,,65.2173913043478
240,,,,132.5,66,47.5,22,4,,,,,,,,62.5
250,,,,150,80,60,30,7,0,,,,,,,60
260,,,,172.5,95,72.5,40,10,1,,,,,,,57.6923076923077
270,,,,,112.5,,52.5,15,2.5,,,,,,,55.5555555555556
280,,,,,127.5,,65,21,5,,,,,,,53.5714285714286
290,,,,,145,,80,27.5,8,0,,,,,,51.7241379310345
300,,,,,,,95,40,12,1,,,,,,50
310,,,,,,,110,50,17,2.5,,,,,,48.3870967741936
320,,,,,,,127.5,65,23,5,,0,,,,46.875
330,,,,,,,,80,30,8,,1,,,,45.4545454545455
340,,,,,,,,95,40,12.5,5,2,,,,44.1176470588235
350,,,,,,,,110,50,17.5,7.5,4,,,,42.8571428571429
360,,,,,,,,,62.5,25,11,6,,,,41.6666666666667
370,,,,,,,,,75,32.5,15,9,0,,,40.5405405405405
380,,,,,,,,,95,40,20,13,1,,,39.4736842105263
390,,,,,,,,,,50,27.5,17.5,2,,,38.4615384615385
400,,,,,,,,,,62.5,,24,4,0,,37.5
410,,,,,,,,,,77.5,,31,6,1,,36.5853658536585
420,,,,,,,,,,,,40,9,2.5,,35.7142857142857
430,,,,,,,,,,,,50,13,4,0,34.8837209302326
440,,,,,,,,,,,,,18,7,1,34.0909090909091
450,,,,,,,,,,,,,24,10,2.5,33.3333333333333
460,,,,,,,,,,,,,31,13,4,32.6086956521739
470,,,,,,,,,,,,,40,18,6,31.9148936170213
480,,,,,,,,,,,,,,23,8,31.25
490,,,,,,,,,,,,,,,10,30.6122448979592
500,,,,,,,,,,,,,,,12,30
