,0,-10,-20,-30,-40,-48.5,-50,-60,-70,-80,-90,-99,-100,-110,-120,-130,-140,-150,"Po=10W"
0,0,,,,,,,,,,,,,,,,,,
10,2,,,,,,,,,,,,,,,,,,
20,4.5,,,,,,,,,,,,,,,,,,
30,8,,,,,,,,,,,,,,,,,,
40,12.5,1,,,,,,,,,,,,,,,,,
50,18.75,3,,,,,,,,,,,,,,,,,
60,25,6,,,,,,,,,,,,,,,,,
70,31.5,9.5,,,,,,,,,,,,,,,,,
80,39,14,1.5,,,,,,,,,,,,,,,,
90,46.25,19.5,4.5,,,,,,,,,,,,,,,,
100,53.5,25.5,7.5,,,,,,,,,,,,,,,,
110,61,32,12,1,,,,,,,,,,,,,,,90.9090909090909
120,70,39,16.5,3,,,,,,,,,,,,,,,83.3333333333333
130,79,46,22,6,,,,,,,,,,,,,,,76.9230769230769
140,,54,28,9.5,0.5,,,,,,,,,,,,,,71.4285714285714
150,,62,35,14,2.5,,,,,,,,,,,,,,66.6666666666667
160,,71,41.5,18.5,4.5,,,,,,,,,,,,,,62.5
170,,80,49,24,7.5,,,,,,,,,,,,,,58.8235294117647
180,,,56,30,11,,1.5,,,,,,,,,,,,55.5555555555556
190,,,64.5,37,16,,3.5,,,,,,,,,,,,52.6315789473684
200,,,73.5,45,21.5,,6.5,,,,,,,,,,,,50
210,,,,52,27,,9.5,1.5,,,,,,,,,,,47.6190476190476
220,,,,60,33,,13.5,3,,,,,,,,,,,45.4545454545455
230,,,,68,40,,18,5.5,0.5,,,,,,,,,,43.4782608695652
240,,,,,47,29,23.5,8.5,1.5,,,,,,,,,,41.6666666666667
250,,,,,55,33.5,29,12,2.5,,,,,,,,,,40
260,,,,,62.5,40.5,35,16,4.5,,,,,,,,,,38.4615384615385
270,,,,,,,43,21,7.5,1,,,,,,,,,37.037037037037
280,,,,,,,50,26.5,11,2.5,,,,,,,,,35.7142857142857
290,,,,,,,57,33,15,4,0.5,,,,,,,,34.4827586206897
300,,,,,,,,40,19.5,6.5,1,,,,,,,,33.3333333333333
310,,,,,,,,47,25,9.5,2,,,,,,,,32.258064516129
320,,,,,,,,54,30,13,3.5,,,,,,,,31.25
330,,,,,,,,,36,17.5,6,2,1,,,,,,30.3030303030303
340,,,,,,,,,43.5,22,8.5,3,2,,,,,,29.4117647058823
350,,,,,,,,,50,28,11.5,4,3,,,,,,28.5714285714286
360,,,,,,,,,,34,15.5,6,5,0.5,,,,,27.7777777777778
370,,,,,,,,,,40.5,20,9,7.5,1.5,,,,,27.027027027027
380,,,,,,,,,,,25.5,12,10.5,2.5,0.5,,,,26.3157894736842
390,,,,,,,,,,,32,,14,4.5,1,,,,25.6410256410256
400,,,,,,,,,,,38,,19,6.5,1.5,,,,25
410,,,,,,,,,,,,,24,9,2.5,,,,24.390243902439
420,,,,,,,,,,,,,30,12.5,4.5,0.5,,,23.8095238095238
430,,,,,,,,,,,,,,16.5,6.5,1.5,,,23.2558139534884
440,,,,,,,,,,,,,,21,8.5,2.5,,,22.7272727272727
450,,,,,,,,,,,,,,25,11.5,4.5,0.5,,22.2222222222222
460,,,,,,,,,,,,,,,15,6,1.5,,21.7391304347826
470,,,,,,,,,,,,,,,20,8.5,2.5,0,21.2765957446808
480,,,,,,,,,,,,,,,,11,4,0.5,20.8333333333333
490,,,,,,,,,,,,,,,,14.5,5,1.5,20.4081632653061
500,,,,,,,,,,,,,,,,18.5,7.5,2.5,20
