,0,-0.5,-1,-1.5,-2,-2.5,-3,"Po=4.5W"
0,,,,,,,,
10,,,,,,,,
20,,,,,,,,
30,,,,,,,,
40,4.7,,,,,,,
50,7.8,,,,,,,90
60,12.2,3.9,,,,,,75
70,17.3,6.7,,,,,,64.2857142857143
80,22.7,10.9,3.9,,,,,56.25
90,29.4,15.7,7.1,,,,,50
100,35.7,21.5,11,3.9,,,,45
110,42.7,27.5,15.3,6.7,,,,40.9090909090909
120,50.6,34.1,20.7,10,3.5,,,37.5
130,58.4,40.8,26.3,14.9,5.9,,,34.6153846153846
140,66.3,47.8,32.5,20,9.8,3.9,,32.1428571428571
150,75.4,54.9,39.2,25.5,14.5,6.3,1.5,30
160,84.4,62.7,46.7,31.4,19.6,9.8,3.1,28.125
170,93.5,70.6,54.1,38.4,25.1,14.9,5.9,26.4705882352941
180,102.5,79.2,62.4,45.6,31.7,20.8,9.4,25
190,,87.8,70.6,52.8,38.4,26.7,13.7,23.6842105263158
200,,96.5,78.9,60,45,32.5,18.8,22.5
