,0,-3,-6,-9,-12,15,-18,"Po=2.75+0.75W"
0,,,,,,,,
20,28.75,22.82,17.18,12.35,7.52,3.76,1.61,
40,34.63,27.38,19.6,13.42,8.05,4.03,1.88,
60,36.51,28.99,20.94,14.21,8.32,4.3,1.91,
80,37.58,29.78,21.48,14.75,8.42,4.36,1.94
100,38,29.93,22.01,15.03,8.52,4.43,1.97,35
120,38.13,30.08,22.17,15.19,8.62,4.49,1.99,29.1666666666667
140,38.26,30.23,22.33,15.35,8.72,4.55,2.02,25
160,38.4,30.38,22.5,15.52,8.82,4.61,2.05,21.875
180,38.53,30.53,22.66,15.68,8.92,4.68,2.08,19.4444444444444
200,38.66,30.69,22.82,15.84,9.02,4.74,2.11,17.5
220,,30.84,22.87,15.88,9.13,4.8,2.14,15.9090909090909
240,,30.99,22.93,15.92,9.23,4.87,2.16,14.5833333333333
260,,31.14,22.98,15.96,9.33,4.93,2.19,13.4615384615385
280,,,23.04,15.99,9.43,4.99,2.22,12.5
300,,,23.09,16.03,9.53,5.06,2.25,11.6666666666667
320,,,,16.07,9.63,5.12,2.28,10.9375
340,,,,16.11,9.73,5.18,2.31,10.2941176470588
360,,,,,9.83,5.24,2.33,9.72222222222222
380,,,,,9.93,5.31,2.36,9.21052631578947
400,,,,,,5.37,2.39,8.75
420,,,,,,,2.42,8.33333333333333
