,40,30,20,10,0,-10,-20,-30,-40,-50,"Pa+g2=11W"
0,0,0,0,0,0,,,,,,
20,56,40,32,16,3,,,,,,
40,92,70,58,32,8,0,,,,,
60,120,94,73,44,14,1,,,,,216.666666666667
80,147,114,88,56,21,2,,,,,162.5
100,170,132,101,66,28,4,0,,,,130
120,193,150,114,75,37,9,1,,,,108.333333333333
140,,168,128,83,45,14,2,,,,92.8571428571429
160,,185,143,93,54,20,5,,,,81.25
180,,200,157,103,63,26,8,0,,,72.2222222222222
200,,,171,114,72,32,12,1,,,65
220,,,186,126,83,40,18,2,0,,59.0909090909091
240,,,200,138,93,48,24,5,1,,54.1666666666667
260,,,,149,104,56,30,8,2,,50
280,,,,161,115,65,38,12,4,0,46.4285714285714
300,,,,,127,74,45,17,7,0.5,43.3333333333333
320,,,,,138,83,52,23,9,1,40.625
340,,,,,,93,60,28,13,2,38.2352941176471
360,,,,,,103,68,33,17,5,36.1111111111111
380,,,,,,,77,40,21,8,34.2105263157895
400,,,,,,,86,48,27,10,32.5
420,,,,,,,,55,31,14,30.952380952381
440,,,,,,,,,37,18,29.5454545454545
460,,,,,,,,,42,21,28.2608695652174
480,,,,,,,,,,27,27.0833333333333
