,0,-5,-10,-15,-18.5,-20,-25,-30,-35,-37,-40,-45,"Pp=13W"
0,0,,,,,,,,,,,,
25,20,,,,,,,,,,,,
50,41.89,4.05,,,,,,,,,,,
75,71.62,16.22,,,,,,,,,,,173.333333333333
100,110.81,33.78,5.4,,,,,,,,,,130
125,160,54.05,17.5,,,,,,,,,,104
150,,85.14,35,8,,,,,,,,,86.6666666666667
175,,120,55.28,17.5,4,3,,,,,,,74.2857142857143
200,,164.86,80,30,14,13,,,,,,,65
225,,,114.6,50,25,23,5,,,,,,57.7777777777778
250,,,,74.15,40,35,12,,,,,,52
275,,,,105.17,60,52,22,4,,,,,47.2727272727273
300,,,,,87.6,75.5,36,13,,,,,43.3333333333333
325,,,,,,,53,25,4,2,,,40
350,,,,,,,73,40,14,10,0,,37.1428571428571
375,,,,,,,,57,25,20,7,,34.6666666666667
400,,,,,,,,,37,30,13,3,32.5
425,,,,,,,,,,,22,8,30.5882352941176
450,,,,,,,,,,,,16,28.8888888888889
475,,,,,,,,,,,,,27.3684210526316
500,,,,,,,,,,,,,26
