,0,-5,-10,-15,-20,-25,-30,-35,"Pp+g2=45W"
0,0,,,,,,,,
25,17.65,,,,,,,,
50,41.18,0,,,,,,,
75,67.65,8.82,,,,,,,
100,97.06,20.59,,,,,,,
125,135.29,41.18,0,,,,,,450
150,182.35,64.71,8.82,,,,,,360
175,235.29,97.06,25,0,,,,,300
200,288.23,144.12,43.75,5.88,,,,,257.142857142857
225,341.18,191.77,71.88,17.65,,,,,225
250,394.12,239.41,100,32.35,0,,,,200
275,447.06,287.06,146.88,58.82,11.11,,,,180
300,,334.7,188.24,88.24,22.22,0,,,163.636363636364
325,,382.35,235.3,117.65,41.67,5.56,,,150
350,,,282.35,152.94,63.89,16.67,,,138.461538461538
375,,,329.41,188.97,86.11,30.56,0,,128.571428571429
400,,,,225,113.89,44.44,11.11,,120
425,,,,,141.67,66.67,22.22,0,112.5
450,,,,,,88.89,41.67,5.56,105.882352941176
475,,,,,,,69.44,13.89,100
500,,,,,,,,30.56,94.7368421052632
