,0,-10,-20,-27,-30,-40,-40.5,-50,-54,-60,-70,-80,-81,-90,-100,-110,-120,-130
0,0,,,,,,,,,,,,,,,,,
10,1.5,,,,,,,,,,,,,,,,,
20,3.5,,,,,,,,,,,,,,,,,
30,6,,,,,,,,,,,,,,,,,
40,10,0,,,,,,,,,,,,,,,,
50,15,2,,,,,,,,,,,,,,,,
60,22,5.5,,,,,,,,,,,,,,,,
70,28,10,0,,,,,,,,,,,,,,,
80,36,15,3,,,,,,,,,,,,,,,
90,44.75,20,5.5,,0,,,,,,,,,,,,,
100,53.5,28,10,,1.5,,,,,,,,,,,,,
110,62.5,35,15,,3.5,,,,,,,,,,,,,
120,,43,20,11,6,0,,,,,,,,,,,,
130,,51.5,27.5,14,10,1.5,,,,,,,,,,,,
140,,60,35,20,15,3.5,,,,,,,,,,,,
150,,,42.5,,20,6,,0,,,,,,,,,,
160,,,50,,26,10,,2,,,,,,,,,,
170,,,,,35,14.5,12.5,4,1,,,,,,,,,
180,,,,,43,21,19,7,3,0.5,,,,,,,,
190,,,,,,28,26,10,5.5,2.5,,,,,,,,
200,,,,,,35,,15,9.5,4.5,,,,,,,,
210,,,,,,42,,20,,6.75,0.5,,,,,,,
220,,,,,,,,25.5,,10,2.5,,,,,,,
230,,,,,,,,33,,14,4.5,0,,,,,,
240,,,,,,,,41,,20,7,1,0,,,,,
250,,,,,,,,,,27.5,10,2.5,1.5,,,,,
260,,,,,,,,,,35,14,4.5,3.5,0,,,,
270,,,,,,,,,,,20.5,7,6,1.5,,,,
280,,,,,,,,,,,28,11,,3,0,,,
290,,,,,,,,,,,35,16,,5,1,,,
300,,,,,,,,,,,,21.5,,7.5,2,,,
310,,,,,,,,,,,,27,,12,4,0,,
320,,,,,,,,,,,,,,17,6,1,,
330,,,,,,,,,,,,,,24,9,2,,
340,,,,,,,,,,,,,,,13,4,0,
350,,,,,,,,,,,,,,,18,6,1.25,
360,,,,,,,,,,,,,,,23,9,2.5,0
370,,,,,,,,,,,,,,,,13,4.5,0.5
380,,,,,,,,,,,,,,,,18,6.5,1.5
390,,,,,,,,,,,,,,,,,10,3
400,,,,,,,,,,,,,,,,,13.5,4.5
410,,,,,,,,,,,,,,,,,18,6.5
420,,,,,,,,,,,,,,,,,,10
430,,,,,,,,,,,,,,,,,,14.5
440,,,,,,,,,,,,,,,,,,
