,0,-4,-8,-12,-16,-20,-24,-28,-32,-36,-40,-44,-48,-52,-56,-60,"Po=30W"
0,0,,,,,,,,,,,,,,,,
50,22.15,0,,,,,,,,,,,,,,,
100,74.77,12.46,0,,,,,,,,,,,,,,300
150,137.07,51.23,6.92,0,,,,,,,,,,,,,200
200,210.46,105.23,36,5.54,0,,,,,,,,,,,,150
250,286.62,171.69,84.46,24.92,4.15,0,,,,,,,,,,,120
300,,247.85,142.62,65.08,18,2.78,,,,,,,,,,,100
350,,,210.46,120,48.46,13.85,1.38,,,,,,,,,,85.7142857142857
400,,,,180,96.92,37.38,11.08,0,,,,,,,,,75
450,,,,,149.54,76.15,30.46,8.31,0,,,,,,,,66.6666666666667
500,,,,,,124.62,62.31,23.54,8.31,0,,,,,,,60
550,,,,,,,106.62,52.62,20,6.92,0,,,,,,54.5454545454546
600,,,,,,,,92.77,44.31,19.38,5.54,0,,,,,50
650,,,,,,,,,80,38.77,16.62,4.85,0,,,,46.1538461538462
700,,,,,,,,,,79.62,34.62,13.85,4.85,0,,,42.8571428571429
750,,,,,,,,,,,63.65,31.85,13.85,4.15,0,,40
800,,,,,,,,,,,,54,24.92,11.77,3.46,0,37.5
850,,,,,,,,,,,,,48.46,24.23,11.08,3.46,35.2941176470588
900,,,,,,,,,,,,,,44.31,24.23,11.08,33.3333333333333
950,,,,,,,,,,,,,,,40,20.77,31.5789473684211
1000,,,,,,,,,,,,,,,,37.38,30
