,0,-5,-10,-15,-20,-25,-30,-35,"Pa+g2=30W"
0,0,,,,,,,,
10,6.25,,,,,,,,
20,12.5,0,,,,,,,
30,20,2.5,,,,,,,
40,27.5,7.5,,,,,,,
50,36,12.5,,,,,,,
60,45,17.5,2,,,,,,
70,55,22,5,,,,,,
80,65,27.5,8,,,,,,
90,75,33,11,,,,,,333.333333333333
100,86.25,40,15,0,,,,,300
110,97.5,48,18,3,,,,,272.727272727273
120,110,55,23,5,,,,,250
130,122.5,64,27,8,,,,,230.769230769231
140,135,74,32,11,,,,,214.285714285714
150,149,84,38,14,1,,,,200
160,162.5,94,45,18,3,,,,187.5
170,180,106,52,22,5,,,,176.470588235294
180,197.5,118,60,27,7,0,,,166.666666666667
190,217.5,130,69,32,11,1,,,157.894736842105
200,237.5,145,79,37,13,3,,,150
210,257.5,160,90,43,17,5,,,142.857142857143
220,277.5,178.75,103.33,50,20,7,0,,136.363636363636
230,,197.5,116.667,58,25,9,1,,130.434782608696
240,,216.25,130,66,29,11,3,,125
250,,235,146.25,76,34,13,5,0,120
260,,,162.5,87,40,17,7,1,115.384615384615
270,,,178.75,98,48,21,9,2,111.111111111111
280,,,195,110,55,25,11,3,107.142857142857
290,,,,125,64,29,13,5,103.448275862069
300,,,,140,74,33,16,7,100
310,,,,157,85,39,19,9,96.7741935483871
320,,,,172,97,46,21,11,93.75
330,,,,,110,53,25,13,90.9090909090909
340,,,,,122,62,29,16,88.2352941176471
350,,,,,137,71,33,19,85.7142857142857
360,,,,,152,82,39,21,83.3333333333333
370,,,,,,95,44,25,81.0810810810811
380,,,,,,107,51,29,78.9473684210526
390,,,,,,120,59,32,76.9230769230769
400,,,,,,,68.5,37,75
410,,,,,,,77.5,42,73.1707317073171
420,,,,,,,88.75,47.5,71.4285714285714
430,,,,,,,100,53,69.7674418604651
440,,,,,,,,60,68.1818181818182
450,,,,,,,,69,66.6666666666667
460,,,,,,,,79,65.2173913043478
470,,,,,,,,,63.8297872340426
480,,,,,,,,,62.5
490,,,,,,,,,61.2244897959184
500,,,,,,,,,60
