,0,-2.5,-5,-7.5,-10,-12.5,-15,"Pa+g2=14W"
0,0,,,,,,,
5,0.5,,,,,,,
10,1,,,,,,,
15,2,,,,,,,
20,3.5,,,,,,,
25,5,,,,,,,
30,6.5,0,,,,,,
35,8,0.5,,,,,,
40,11,1,,,,,,
45,13,2,,,,,,
50,15.5,3,,,,,,
55,18,4.5,,,,,,
60,21,5.5,,,,,,
65,23,7,,,,,,
70,26,8,,,,,,200
75,29,10,,,,,,186.666666666667
80,32,12,0,,,,,175
85,35,14,1,,,,,164.705882352941
90,38,16,2,,,,,155.555555555556
95,42,18,3,,,,,147.368421052632
100,45,20,4,,,,,140
105,48.833333,22,5,,,,,133.333333333333
110,52.666667,24.5,6.66666,,,,,127.272727272727
115,56.5,27,7.5,,,,,121.739130434783
120,60.333333,30,8.333333,,,,,116.666666666667
125,64.166667,33,10,,,,,112
130,68,35.5,12,0,,,,107.692307692308
135,72.153846,39,13,1,,,,103.703703703704
140,76.307692,42.5,15.5,2,,,,100
145,80.461538,45.5,18,3,,,,96.551724137931
150,84.615385,49,20.875,4,,,,93.3333333333333
155,88.769231,52.833333,23.75,5,,,,90.3225806451613
160,92.923077,56.666667,26.625,6.5,,,,87.5
165,97.076923,60.5,29.5,8.25,0,,,84.8484848484848
170,101.230769,64.333333,32.6,10,0.8333,,,82.3529411764706
175,105.384615,68.166667,35.7,12.1,1.6666,,,80
180,109.538462,72,38.8,14.2,2.5,,,77.7777777777778
185,113.692308,75.833333,41.9,16.3,3.3333,,,75.6756756756757
190,117.846154,79.666667,45,18.4,4.16666,,,73.6842105263158
195,122,83.5,48.714286,20.5,5,,,71.7948717948718
200,126,87.333333,52.428571,23,7,,,70
205,131,91.166667,56.142857,26,8,0,,68.2926829268293
210,136,95,59.857143,28,9,0.625,,66.6666666666667
215,140,99.5,63.571429,31,10.5,1.25,,65.1162790697674
220,145,104,67.285714,34.285714,12.5,1.875,,63.6363636363636
225,150,107.5,71,37.571429,13.75,2.5,0,62.2222222222222
230,155,112,75,40.857143,15,4,0.25,60.8695652173913
235,160,116.678571,79,44.142857,17.5,5,0.5,59.5744680851064
240,165,121.357143,83,47.428571,20,6,0.75,58.3333333333333
245,170,126.035714,87,50.714286,22.5,7.5,1,57.1428571428571
250,175,130.714286,91,54,25,9.5,1.75,56
255,180,135.392857,95,57.7,27.9,10.5,2.5,54.9019607843137
260,185,140.071429,99,61.4,30.8,12.5,3.75,53.8461538461539
265,190,144.75,103,65.1,33.7,14.333333,4.375,52.8301886792453
270,195,149.428571,107,68.8,36.6,16.166667,5,51.8518518518519
275,200,154.107143,111,72.5,39.5,18,6.25,50.9090909090909
280,,158.785714,115,76.2,42.4,20.4,7.5,50
285,,163.464286,119,79.9,45.3,22.8,8.75,49.1228070175439
290,,168.142857,123,83.6,48.2,25.2,10.5,48.2758620689655
295,,172.821429,127,87.3,51.1,27.6,12.5,47.4576271186441
300,,177.5,131,91,54,30,14,46.6666666666667
