,0,-5,-10,-15,-20,-25,-30,-35,-40,-45,-50,-55,-60,-65,-70,-75,-80,"Po=40W"
0,,,,,,,,,,,,,,,,,,
10,6,,,,,,,,,,,,,,,,,
20,14,3,,,,,,,,,,,,,,,,
30,24,6,,,,,,,,,,,,,,,,
40,34,12,,,,,,,,,,,,,,,,
50,44,18,,,,,,,,,,,,,,,,
60,56,24,5,,,,,,,,,,,,,,,
70,70,32,7,,,,,,,,,,,,,,,
80,84,40,11,,,,,,,,,,,,,,,
90,100,50,16,3,,,,,,,,,,,,,,
100,114,60,22,5,,,,,,,,,,,,,,
110,132,72,30,8,,,,,,,,,,,,,,
120,150,82,38,13,,,,,,,,,,,,,,
130,168,96,48,18,6,,,,,,,,,,,,,
140,186,110,58,24,9,,,,,,,,,,,,,285.714285714286
150,204,124,68,32,12,5,,,,,,,,,,,,266.666666666667
160,222,140,80,40,17,6,,,,,,,,,,,,250
170,240,160,92,50,22,8,,,,,,,,,,,,235.294117647059
180,260,176,106,60,28,11,,,,,,,,,,,,222.222222222222
190,280,198,122,72,36,16,6,,,,,,,,,,,210.526315789474
200,300,212,138,84,44,20,8,,,,,,,,,,,200
210,,230,156,96,54,26,12,2,,,,,,,,,,190.476190476191
220,,248,172,110,62,34,16,4,,,,,,,,,,181.818181818182
230,,262,188,126,74,42,21,7,,,,,,,,,,173.913043478261
240,,,208,142,84,50,26,11,,,,,,,,,,166.666666666667
250,,,224,156,98,58,34,16,6,,,,,,,,,160
260,,,242,172,110,68,40,20,8,,,,,,,,,153.846153846154
270,,,,188,124,78,48,26,12,,,,,,,,,148.148148148148
280,,,,204,140,88,56,32,16,,,,,,,,,142.857142857143
290,,,,220,154,100,66,39,20,9,,,,,,,,137.931034482759
300,,,,,170,114,76,46,26,11,,,,,,,,133.333333333333
310,,,,,184,126,86,56,32,15,5,,,,,,,129.032258064516
320,,,,,200,140,96,64,38,19,7,,,,,,,125
330,,,,,,154,108,72,46,24,10,,,,,,,121.212121212121
340,,,,,,170,120,82,54,30,14,6,,,,,,117.647058823529
350,,,,,,184,134,92,62,36,18,8,,,,,,114.285714285714
360,,,,,,,148,104,70,43,24,11,3,,,,,111.111111111111
370,,,,,,,160,116,80,50,30,15,6,2,,,,108.108108108108
380,,,,,,,,126,90,58,36,19,9,3,,,,105.263157894737
390,,,,,,,,140,101,67,42,24,13,5,3,,,102.564102564103
400,,,,,,,,152,112,76,50,29,17,8,4,,,100
410,,,,,,,,,124,86,56,35,21,11,5,,,97.5609756097561
420,,,,,,,,,136,98,66,41,25,14,6.5,0,,95.2380952380952
430,,,,,,,,,,108,74,48,30,17,8,1,,93.0232558139535
440,,,,,,,,,,120,84,55,35,21,10,2,,90.9090909090909
450,,,,,,,,,,,94,62,40,25,13,4,,88.8888888888889
460,,,,,,,,,,,104,72,46,30,16,6,,86.9565217391304
470,,,,,,,,,,,114,80,53,35,20,8,0,85.1063829787234
480,,,,,,,,,,,,90,60,40,24,12,2,83.3333333333333
490,,,,,,,,,,,,100,67,46,28,16,5,81.6326530612245
500,,,,,,,,,,,,,76,52,32,20,10,80
